text,text_clean,tokens,label,source,topic_id,topic_label,topic_score
"All the steaks are pre-made .. Once you order your steak they reheat the steak depend on your request! ( rare, medium or Weldon...) If you don't believe me go see it it by the grill for your self...they brought our steak 3 times and still not fresh!","all the steaks are premade .. once you order your steak they reheat the steak depend on your request! rare, medium or weldon... if you don't believe me go see it it by the grill for your self...they brought our steak 3 times and still not fresh!",steak premade order steak reheat steak depend request rare medium weldon believe grill self bring steak time fresh,0,huggingface_baseline,1,Food Quality & Taste,0.0384189135964665
I was craving Dairy Queen for quite awhile.  When I finally went I was wondering what I wanted it so badly for?  I ordered a grape freeze.  The icey slush mixed with soft serve vanilla.  It was was so mediocre.  I felt like I was wasting calories for the day.  If I want a treat I can think of such better/higher quality treats and ice cream.,i was craving dairy queen for quite awhile. when i finally went i was wondering what i wanted it so badly for? i ordered a grape freeze. the icey slush mixed with soft serve vanilla. it was was so mediocre. i felt like i was wasting calories for the day. if i want a treat i can think of such betterhigher quality treats and ice cream.,crave dairy queen awhile finally go wonder want badly order grape freeze icey slush mix soft serve vanilla mediocre feel like waste calorie day want treat think betterhigher quality treat ice cream,0,huggingface_baseline,1,Food Quality & Taste,0.035628260540175566
Un endroit qui ressemble plus \u00e0 un bar sportif qu'\u00e0 un restaurant.\nL'accueil est bon mais sans plus. On oublie souvent de vous mettre \u00e0 la bonne table. On vous envoie \u00e0 la table r\u00e9serv\u00e9e pour quelqu'un d'autre et il faut ensuite rapidement changer de place. Les boissons sont tr\u00e8s ch\u00e8res pour bien peu. La pizza est bien ordinaire et tr\u00e8s ch\u00e8re aussi. Le rapport qualit\u00e9/prix n'est pas invitant.\n\nA sports bar more than a real restaurant.\nThe staff welcomes you but nothing more. They forget the table is already reserved for somebody else and then they politely invite you to move to an other table. Drinks are most of the time more expensive than they could really be valued. The pizza is average and more expensive than many other places. The quality/value ratio is not inviting.,un endroit qui ressemble plus u00e0 un bar sportif qu'u00e0 un restaurant.nl'accueil est bon mais sans plus. on oublie souvent de vous mettre u00e0 la bonne table. on vous envoie u00e0 la table ru00e9servu00e9e pour quelqu'un d'autre et il faut ensuite rapidement changer de place. les boissons sont tru00e8s chu00e8res pour bien peu. la pizza est bien ordinaire et tru00e8s chu00e8re aussi. le rapport qualitu00e9prix n'est pas invitant.nna sports bar more than a real restaurant.nthe staff welcomes you but nothing more. they forget the table is already reserved for somebody else and then they politely invite you to move to an other table. drinks are most of the time more expensive than they could really be valued. the pizza is average and more expensive than many other places. the qualityvalue ratio is not inviting.,un endroit qui ressemble plus un bar sportif un est bon mais sans plus oublie souvent de vous mettre la bonne table vous envoie la table pour et il faut ensuite rapidement changer de place les boisson sont pour bien peu la pizza est bien ordinaire et aussi le rapport pa sport bar real staff welcome forget table reserve somebody politely invite table drink time expensive value pizza average expensive place qualityvalue ratio invite,0,huggingface_baseline,1,Food Quality & Taste,0.04368559534890979
Horrible service... Food is gross!  Pretty much sums it up.  Decorations inside are nice to look at.  But I will never go back after eating the food.,horrible service... food is gross! pretty much sums it up. decorations inside are nice to look at. but i will never go back after eating the food.,horrible service food gross pretty sum decoration inside nice look eat food,0,huggingface_baseline,6,Delivery & Takeout,0.04157424615057262
"My husband and sister surprised me with my 40th Birthday at Aroma Garden Cafe. The food, staff, and location were great! The guests were treated with Hummus, and a variety of salads that were fresh and delicious. The Entree Choices were chicken breast with wild mushrooms, sauted crusted salmon, chicken shish kabobs, NY strip steak, Filet mignon, and lamb chops. I ate the lamb chops and they were prepared perfectly to my liking. I got to taste test the filet mignon and the chicken dish with wild mushrooms. They were also fantastic.  I am a new fan of the Aroma Garden Cafe and I look forward to dining again with my hubby soon.","my husband and sister surprised me with my 40th birthday at aroma garden cafe. the food, staff, and location were great! the guests were treated with hummus, and a variety of salads that were fresh and delicious. the entree choices were chicken breast with wild mushrooms, sauted crusted salmon, chicken shish kabobs, ny strip steak, filet mignon, and lamb chops. i ate the lamb chops and they were prepared perfectly to my liking. i got to taste test the filet mignon and the chicken dish with wild mushrooms. they were also fantastic. i am a new fan of the aroma garden cafe and i look forward to dining again with my hubby soon.",husband sister surprise birthday aroma garden cafe food staff location great guest treat hummus variety salad fresh delicious entree choice chicken breast wild mushroom saute crust salmon chicken shish kabob ny strip steak filet mignon lamb chop eat lamb chop prepare perfectly liking get taste test filet mignon chicken dish wild mushroom fantastic new fan aroma garden cafe look forward dining hubby soon,1,huggingface_baseline,6,Delivery & Takeout,0.044660542026664814
"Compared to most hotels on The Strip this hotel is filth. Bedspreads, TVs from the 90's, no minibars, no mini-refrigerators, etc. One would be much better off paying for a cheaper room at a lesser known establishment and NOT paying for the name \""""Luxor\"""". Personal experience: I booked a 'Deluxe King Pyramid Room' three months in advance and checked in on time. I was given a double queen in one of the \""""towers\"""" which was okay since I didn't check in until 9pm and half expected this level of treatment from one of the lesser respected establishments on the Las Vegas Blvd. strip. BOTTOM LINE: I would highly recommend splurging and staying at the Wynn, Bellagio, Mandalay Bay, etc. or saving the extra twenty dollars and staying at a \""""no name\"""" establishment. I've been treated better at HoJos in the middle of nowhere. Seriously. DON'T STAY HERE. They don't need your business and they treat you as such.","compared to most hotels on the strip this hotel is filth. bedspreads, tvs from the 90's, no minibars, no minirefrigerators, etc. one would be much better off paying for a cheaper room at a lesser known establishment and not paying for the name luxor. personal experience i booked a 'deluxe king pyramid room' three months in advance and checked in on time. i was given a double queen in one of the towers which was okay since i didn't check in until 9pm and half expected this level of treatment from one of the lesser respected establishments on the las vegas blvd. strip. bottom line i would highly recommend splurging and staying at the wynn, bellagio, mandalay bay, etc. or saving the extra twenty dollars and staying at a no name establishment. i've been treated better at hojos in the middle of nowhere. seriously. don't stay here. they don't need your business and they treat you as such.",compare hotel strip hotel filth bedspread tv minibar minirefrigerator etc well pay cheap room lesser know establishment pay luxor personal experience book deluxe king pyramid room month advance check time give double queen tower okay check pm half expect level treatment less respected establishment las vegas blvd strip line highly recommend splurging stay wynn bellagio mandalay bay etc save extra dollar stay establishment treat well hojos middle seriously stay need business treat,0,huggingface_baseline,1,Food Quality & Taste,0.05839039839944179
"I'm am shocked this place has an average 4 stars. We were highly disappointed, the only things that saved the night was the free glass of wine with Yelp check in an $10 off coupon I got for my birthday.\n\nNot to be a nit picker but my food wasn't up to par so I might as well complain about the dirty with sauce table cloth as well. Otherwise the restaurant itself was nice. Lots of room, it really filled up the longer we were there. Our waitress was average, she helped with questions but otherwise wasn't very attentive.\n\nWe were given some small pieces of complimentary garlic bread to start, it was average, nothing special about it. I'm a big fan of Arncini, so we ordered a plate to start. Ick! I ate one and didn't even want to finish that one. It had good crunch but the taste of the inside was not appealing, I make Arincini at home and have had it many other places and this was the worst I have ever had. We didn't even finish them or the bread and my husband is a bread fiend.\n\nOn of the menu items I saw had gotten lots of good reviews and states its a best selling dish was the Crazy Alfredo, I love Alfredo and wanted shrimp but also wanted to try something different so I ordered it. The dish was piled high but it didn't seem like Alfredo sauce, it was more like they threw Parmesan or mozzarella in the pasta, it actually started to harden as it cooled. The spice of the jalape\u00f1o wasn't over powering which was nice. Disappointed there were only 2 shrimp in the dish. Tons of sausage. The fettuccine tasted like box pasta. My friend got the same dish and was disappointed as well. Her husband was the only one that was pleased with his dish which was the Chicken Mount Etna. My husband got the Gnocchi with Vodka Sauce and added Chicken. OMG! I felt so bad for my husband, his gnocchi tasted like wet balls of wall paper paste, no taste, and the sauce did nothing to help. We've had gnocchi before also and these were very heavy and gross.\n\nI just wanted to get out of there, I can't believe I wasted by birthday dinner on Nora's, I will never go back or recommend it. My husband wanted to give me to give 1 star but my dish was at least edible.","i'm am shocked this place has an average 4 stars. we were highly disappointed, the only things that saved the night was the free glass of wine with yelp check in an 10 off coupon i got for my birthday.nnnot to be a nit picker but my food wasn't up to par so i might as well complain about the dirty with sauce table cloth as well. otherwise the restaurant itself was nice. lots of room, it really filled up the longer we were there. our waitress was average, she helped with questions but otherwise wasn't very attentive.nnwe were given some small pieces of complimentary garlic bread to start, it was average, nothing special about it. i'm a big fan of arncini, so we ordered a plate to start. ick! i ate one and didn't even want to finish that one. it had good crunch but the taste of the inside was not appealing, i make arincini at home and have had it many other places and this was the worst i have ever had. we didn't even finish them or the bread and my husband is a bread fiend.nnon of the menu items i saw had gotten lots of good reviews and states its a best selling dish was the crazy alfredo, i love alfredo and wanted shrimp but also wanted to try something different so i ordered it. the dish was piled high but it didn't seem like alfredo sauce, it was more like they threw parmesan or mozzarella in the pasta, it actually started to harden as it cooled. the spice of the jalapeu00f1o wasn't over powering which was nice. disappointed there were only 2 shrimp in the dish. tons of sausage. the fettuccine tasted like box pasta. my friend got the same dish and was disappointed as well. her husband was the only one that was pleased with his dish which was the chicken mount etna. my husband got the gnocchi with vodka sauce and added chicken. omg! i felt so bad for my husband, his gnocchi tasted like wet balls of wall paper paste, no taste, and the sauce did nothing to help. we've had gnocchi before also and these were very heavy and gross.nni just wanted to get out of there, i can't believe i wasted by birthday dinner on nora's, i will never go back or recommend it. my husband wanted to give me to give 1 star but my dish was at least edible.",shock place average star highly disappointed thing save night free glass wine yelp check coupon get nit picker food par complain dirty sauce table cloth restaurant nice lot room fill long waitress average help question give small piece complimentary garlic bread start average special big fan arncini order plate start ick eat want finish good crunch taste inside appealing arincini home place bad finish bread husband bread menu item see get lot good review state good selling dish crazy alfredo love alfredo want shrimp want try different order dish pile high like alfredo sauce like throw parmesan mozzarella pasta actually start harden cool spice powering nice disappoint shrimp dish ton sausage fettuccine taste like box pasta friend get dish disappoint husband pleased dish chicken mount etna husband get gnocchi vodka sauce add chicken omg feel bad husband gnocchi taste like wet ball wall paper paste taste sauce help gnocchi heavy want believe waste birthday dinner nora recommend husband want star dish edible,0,huggingface_baseline,1,Food Quality & Taste,0.11499424860998823
"5 stars for lunch options and value, 2.5 stars for lunchtime sushi.\n4 stars for dinner, 4 stars for dinner sushi.\n\nThis place has two faces - a simple and incredible value during lunch (4$ tasty lunch bento boxes...are you KIDDING?), and then a full blown, non-corporate teppan-yaki at night.\n\nI definitely tend to notice a difference in the quality of the sushi between lunch and dinner with the latter being preferable.  Dinner options are delicious and great fun, but the amazing dimension Kyoto brings to downtown Scottsdale are its lunch offerings.  Seriously, they're good, and under 5 bucks.  That alone makes it worth the trip!","5 stars for lunch options and value, 2.5 stars for lunchtime sushi.n4 stars for dinner, 4 stars for dinner sushi.nnthis place has two faces a simple and incredible value during lunch 4 tasty lunch bento boxes...are you kidding?, and then a full blown, noncorporate teppanyaki at night.nni definitely tend to notice a difference in the quality of the sushi between lunch and dinner with the latter being preferable. dinner options are delicious and great fun, but the amazing dimension kyoto brings to downtown scottsdale are its lunch offerings. seriously, they're good, and under 5 bucks. that alone makes it worth the trip!",star lunch option value star lunchtime star dinner star dinner place face simple incredible value lunch tasty lunch bento boxes kid blown noncorporate teppanyaki definitely tend notice difference quality sushi lunch dinner preferable dinner option delicious great fun amazing dimension kyoto bring downtown scottsdale lunch offering seriously good buck make worth trip,1,huggingface_baseline,1,Food Quality & Taste,0.053951719276845694
"Ew, this location was crawling with ankle biters gone wild and very dirty ....at nine in the morning, what gives? When I went up to the cash register the chick just looked at me with a look like what was I doing there. When she didn't say anything and I had to say \""""Hi\"""" again, she just looked at me all deer in the headlights-like. And then when I had to initiate more conversation like a \""""How are you?\"""" so we could get the ball rolling with the making of coffee, she finally caught on. Meh indeed my friends.","ew, this location was crawling with ankle biters gone wild and very dirty ....at nine in the morning, what gives? when i went up to the cash register the chick just looked at me with a look like what was i doing there. when she didn't say anything and i had to say hi again, she just looked at me all deer in the headlightslike. and then when i had to initiate more conversation like a how are you? so we could get the ball rolling with the making of coffee, she finally caught on. meh indeed my friends.",ew location crawl ankle biter go wild dirty morning give go cash register chick look look like hi look deer headlightslike initiate conversation like ball roll making coffee finally catch meh friend,0,huggingface_baseline,1,Food Quality & Taste,0.038229759300372534
"Horrible service. Asked 3 times to order, asked twice for a knife and what kind of Vietnamese restaurant doesn't have meatballs for your pho?","horrible service. asked 3 times to order, asked twice for a knife and what kind of vietnamese restaurant doesn't have meatballs for your pho?",horrible service ask time order ask twice knife kind vietnamese restaurant meatball pho,0,huggingface_baseline,1,Food Quality & Taste,0.03700263750440606
