Phase,Task,Prompt (paraphrased),AI Output,Human Verification,Status,Fix Applied,Status_clean
1,Regex URL Cleaning,Write regex to remove URLs from review text,r'http\S+',Tested on sample texts — www. URLs not removed,❌ Fail → Fixed,Extended pattern to r'http\S+|www\.\S+',Fail → Fixed
1,Star Rating Parser,Parse star rating from Yelp aria-label attribute using BeautifulSoup,"re.search(r'(\d)', tag['aria-label'])",Worked for most cases but failed when Yelp changed CSS class,⚠️ Pass w/ Edit,Added fallback: search by role='img' attribute,Pass w/ Edit
1,spaCy Tokenizer,"Tokenize and lemmatize text, remove stopwords using spaCy",Basic list comprehension with token.lemma_ and token.is_stop,Numbers and punctuation passed through incorrectly,⚠️ Pass w/ Edit,Added token.is_alpha filter to remove non-alphabetic tokens,Pass w/ Edit
1,Yelp Pagination Logic,How to paginate Yelp reviews using requests (start parameter),"Append ?start=0, ?start=10, ?start=20 per page",Manually verified against live Yelp URLs — correct,✅ Pass,—,Pass
1,DataFrame Safety Guard,Convert scraped list to DataFrame and access label column,pd.DataFrame(all_scraped) then df['label'] directly,KeyError: 'label' when Yelp blocked scraping and list was empty,❌ Fail → Fixed,Added empty check + mock data fallback before accessing columns,Fail → Fixed
1,Yelp Business IDs,List popular Yelp restaurant business IDs in New York,Guessed IDs e.g. 'joes-pizza-new-york-41',IDs not found on Yelp — AI fabricated them,❌ Fail → Fixed,Manually verified real IDs from Yelp search e.g. 'julianas-brooklyn-3',Fail → Fixed
2.1 LDA,LDA Setup,Set up gensim LDA with coherence score to find best k,"Basic LdaModel with default dictionary, no filter_extremes",Too many rare/common words degrading coherence scores,⚠️ Pass w/ Edit,"Added dictionary.filter_extremes(no_below=3, no_above=0.8)",Pass w/ Edit
2.1 LDA,Coherence Score Range,Compute coherence score for k=3 to 10,"Loop k=3 to 10, plot c_v coherence",Range too narrow — elbow not visible,⚠️ Pass w/ Edit,Extended range to k=3-12 to fully show elbow,Pass w/ Edit
2.2 NER,NER Pipeline Speed,Extract named entities from all reviews using spaCy,Loop with nlp(text) per document,"Very slow on 2,000+ reviews",❌ Fail → Fixed,Replaced with nlp.pipe() batch processing (3-5x faster),Fail → Fixed
2.3 NMF,NMF Initialization,Set up NMF topic modeling with scikit-learn,NMF with default init='random',Results inconsistent across runs,⚠️ Pass w/ Edit,"Changed to init='nndsvda' for deterministic, better initialization",Pass w/ Edit
2.3 NMF,TF-IDF Configuration,Configure TF-IDF vectorizer for NMF input,TfidfVectorizer with unigrams only,"Missing domain-specific bigrams like 'wait time', 'good service'",⚠️ Pass w/ Edit,"Added ngram_range=(1,2) and sublinear_tf=True",Pass w/ Edit
2.3 NMF,Topic Diversity Metric,Suggest metric to evaluate NMF topic quality alongside reconstruction error,Topic Diversity = unique_words / total_words from top-10 per topic,Score = 1.000 for every k — metric insensitive on large vocabulary dataset,❌ Fail → Fixed,Replaced with ΔError bar chart + Second Derivative Elbow detection only,Fail → Fixed
2.3 NMF,NMF Heatmap Scale,Visualize H matrix as heatmap across topics,Raw H values plotted with shared color scale,Topics with small weights appeared invisible — misleading visualization,❌ Fail → Fixed,Normalize each topic row to max=1 before plotting,Fail → Fixed
2.3 NMF,Topic Labels IndexError,Auto-assign topic labels from predefined list,Direct index access topic_labels[i] without bounds check,IndexError when k > len(topic_labels),❌ Fail → Fixed,Changed to list comprehension with fallback: topic_labels[i] if i < len(topic_labels) else f'Topic {i+1}',Fail → Fixed
