label,entity_norm,count
DATE,today,67
DATE,sunday,41
DATE,the day,31
DATE,friday,29
DATE,saturday,28
DATE,the next day,17
DATE,years,16
DATE,yesterday,14
DATE,the summer,13
DATE,thursday,12
DATE,last week,11
DATE,monday,11
DATE,tuesday,11
DATE,the week,10
DATE,the weekend,9
DATE,sundays,8
DATE,that day,8
DATE,weekly,8
DATE,all day,7
DATE,monthly,7
DATE,summer,7
DATE,this week,7
DATE,wednesday,7
DATE,2 weeks,6
DATE,a few months ago,6
DATE,one day,6
DATE,two years,6
DATE,weekend,6
DATE,a few weeks ago,5
DATE,a few years ago,5
DATE,christmas,5
DATE,days,5
DATE,july,5
DATE,last year,5
DATE,tuesdays,5
DATE,weekday,5
DATE,5 years,4
DATE,70,4
DATE,a day,4
DATE,a week ago,4
DATE,a year,4
DATE,another day,4
DATE,daily,4
DATE,day,4
DATE,halloween,4
DATE,september,4
DATE,the other day,4
DATE,this past weekend,4
DATE,this year,4
DATE,tomorrow,4
DATE,10 years,3
DATE,2 days,3
DATE,2 days later,3
DATE,2 months,3
DATE,2 nights,3
DATE,a few days later,3
DATE,a few weeks,3
DATE,a good day,3
DATE,a week,3
DATE,a weekend,3
DATE,about a year ago,3
DATE,last friday,3
DATE,next day,3
DATE,next year,3
DATE,october,3
DATE,the 1st,3
DATE,the end of the day,3
DATE,the holidays,3
DATE,the same day,3
DATE,the years,3
DATE,this weekend,3
DATE,weeks,3
DATE,0630,2
DATE,1 month,2
DATE,1 week,2
DATE,1900,2
DATE,1970,2
DATE,2 year old,2
DATE,2003,2
DATE,2005,2
DATE,2012,2
DATE,2014,2
DATE,3 day,2
DATE,4 days,2
DATE,5 days,2
DATE,50 year old,2
DATE,50s,2
DATE,8 years,2
DATE,a bad day,2
DATE,a couple days,2
DATE,a couple days ago,2
DATE,a few years,2
DATE,a month,2
DATE,a sunny day,2
DATE,about 2 years,2
DATE,about a month later,2
DATE,about a week,2
DATE,all my years,2
DATE,almost every day,2
DATE,august,2
DATE,every few days,2
DATE,january,2
DATE,last may,2
DATE,last month,2
DATE,many years,2
DATE,mondays,2
DATE,saturdays,2
DATE,several years,2
DATE,the days,2
DATE,the first day,2
DATE,the following day,2
DATE,the free month,2
DATE,the season,2
DATE,the winter,2
DATE,the year,2
DATE,these days,2
DATE,this past friday,2
DATE,this past sunday,2
DATE,this saturday,2
DATE,those days,2
DATE,three months,2
DATE,two day,2
DATE,two weeks,2
DATE,two year old,2
DATE,wednesdays,2
DATE,years ago,2
DATE,you\,2
DATE,'03,1
DATE,'70s,1
DATE,'80s,1
DATE,/quarter,1
DATE,03 03 13,1
DATE,09/09/14 12:27 pm\n\ni,1
DATE,1 month old,1
DATE,1 year old,1
DATE,1-2 years old,1
DATE,1.5 year old,1
DATE,10 days,1
DATE,10 every day,1
DATE,10 month old,1
DATE,10 years ago,1
DATE,10 years old,1
DATE,10-1230am,1
DATE,100000x,1
DATE,1240,1
DATE,12:40pm,1
DATE,13 years,1
DATE,13 years ago,1
DATE,14 years in a row,1
DATE,15 years,1
DATE,15+,1
DATE,16,1
DATE,16 year old,1
DATE,17 years,1
DATE,18+,1
DATE,1912,1
DATE,1928,1
DATE,1950,1
DATE,1969,1
DATE,1980,1
DATE,1980?!\n\nhonestly,1
DATE,1982,1
DATE,1988,1
DATE,1994,1
DATE,1997,1
DATE,19th century,1
DATE,2 days in a row,1
DATE,2 months later,1
DATE,2 weeks ago,1
DATE,2 years,1
DATE,2+ years ago,1
DATE,2-3 weeks ago,1
DATE,20 years,1
DATE,20 years old,1
DATE,20-25min,1
DATE,2000,1
DATE,2007,1
DATE,2009,1
DATE,21 year,1
DATE,21 year old,1
DATE,2300-0500,1
DATE,25 years ago,1
DATE,27-205)\n\ncasino,1
DATE,2735,1
DATE,28277,1
DATE,2836,1
DATE,3,1
DATE,3 business days later,1
DATE,3 days,1
DATE,3 long islands,1
DATE,3 months old,1
DATE,3 nights,1
DATE,3 or 4 years,1
DATE,3 years,1
DATE,3.5 year old,1
DATE,30 days,1
DATE,30 years,1
DATE,30+,1
DATE,32 days,1
DATE,33 years,1
DATE,35 day,1
DATE,35 years ago,1
DATE,3xs a week,1
DATE,4,1
DATE,4 day,1
DATE,4 million years,1
DATE,4 months ago,1
DATE,4 months later,1
DATE,4 year grand,1
DATE,4 year old,1
DATE,4+,1
DATE,4-6pm,1
DATE,40's,1
DATE,4th of july weekend,1
DATE,5 +,1
DATE,5 months,1
DATE,5 year old,1
DATE,50,1
DATE,50 years old,1
DATE,5yrs ago,1
DATE,6 month,1
DATE,6 months,1
DATE,7-8pm,1
DATE,70 year old,1
DATE,76,1
DATE,80,1
DATE,87,1
DATE,87 year old,1
DATE,9 months ago,1
DATE,9 years ago,1
DATE,"\""""green",1
DATE,"\""""our\",1
DATE,"\""""small",1
DATE,\n\nafter 2 days,1
DATE,\n\ni'm,1
DATE,\n\ntoday,1
DATE,\u00a31.99,1
DATE,a busy day,1
DATE,a couple of days,1
DATE,a couple of weeks,1
DATE,a couple of weeks ago,1
DATE,a couple of years,1
DATE,a couple years ago,1
DATE,a day 7 days,1
DATE,a day later,1
DATE,a few days,1
DATE,a few days ago,1
DATE,a few decades,1
DATE,a few months,1
DATE,a few weeks back,1
DATE,a few years old,1
DATE,a free month,1
DATE,a game day,1
DATE,a great day,1
DATE,a little 18 year old,1
DATE,a little while ago,1
DATE,a long 3 day weekend,1
DATE,a long time ago,1
DATE,a mid friday,1
DATE,a month or,1
DATE,a nice day,1
DATE,a nice summer's,1
DATE,a quarter,1
DATE,a short weekend,1
DATE,a summer day,1
DATE,a two month old,1
DATE,a week and half later,1
DATE,a week day,1
DATE,a week old,1
DATE,a year ago,1
